day,bankroll
0,25.0
1,25.26
2,25.58
3,25.87
4,26.19
5,26.45
6,26.76
7,27.05
8,27.37
9,27.73
10,28.05
11,28.34
12,28.63
13,28.98
14,29.29
15,29.65
16,30.02
17,30.39
18,30.71
19,31.12
20,31.47
21,31.81
22,32.14
23,32.56
24,32.95
25,33.3
26,33.7
27,34.04
28,34.38
29,34.78
30,35.18
31,35.57
32,35.96
33,36.39
34,36.75
35,37.2
36,37.67
37,38.1
38,38.51
39,38.95
40,39.43
41,39.94
42,40.33
43,40.81
44,41.35
45,41.8
46,42.31
47,42.75
48,43.23
49,43.72
50,44.17
51,44.69
52,45.19
53,45.69
54,46.19
55,46.78
56,47.32
57,47.81
58,48.37
59,48.98
60,49.45
61,50.08
62,50.73
63,51.3
64,51.87
65,52.43
