strategy,opts,kelly,min_conf,min_margin,entry_offset,n_trades,n_wins,n_losses,total_pnl,win_rate,avg_win,avg_loss,final_equity,sharpe,rank
BIDIRECTIONAL,{},0.05,0.51,0.0,0.02,92,68,24,0.7268320542915401,0.7391304347826086,0.0283357655042873,0.05,19490.352694777328,0.2324499818575072,15640
BIDIRECTIONAL,{},0.05,0.51,0.0,0.04,92,68,24,0.4129743220350301,0.7391304347826086,0.0237202106181621,0.05,14359.281872945074,0.1468105552190982,16604
BIDIRECTIONAL,{},0.05,0.51,0.0,0.0,92,68,24,1.086306133349612,0.7391304347826086,0.0336221490198472,0.05,27610.14363744766,0.3115922962008784,14292
BIDIRECTIONAL,{},0.05,0.55,0.0,0.02,92,68,24,0.7268320542915401,0.7391304347826086,0.0283357655042873,0.05,19490.352694777328,0.2324499818575072,15641
BIDIRECTIONAL,{},0.05,0.55,0.0,0.04,92,68,24,0.4129743220350301,0.7391304347826086,0.0237202106181621,0.05,14359.281872945074,0.1468105552190982,16605
BIDIRECTIONAL,{},0.05,0.55,0.0,0.0,92,68,24,1.086306133349612,0.7391304347826086,0.0336221490198472,0.05,27610.14363744766,0.3115922962008784,14293
BIDIRECTIONAL,{},0.1,0.51,0.0,0.02,92,68,24,1.4536641085830802,0.7391304347826086,0.0566715310085747,0.1,33648.93525393797,0.2324499818575072,12942
BIDIRECTIONAL,{},0.1,0.51,0.0,0.04,92,68,24,0.8259486440700603,0.7391304347826086,0.0474404212363243,0.1,18554.582440005564,0.1468105552190982,15262
BIDIRECTIONAL,{},0.1,0.51,0.0,0.0,92,68,24,2.172612266699224,0.7391304347826086,0.0672442980396944,0.1,66121.08514128561,0.3115922962008784,10702
BIDIRECTIONAL,{},0.1,0.55,0.0,0.02,92,68,24,1.4536641085830802,0.7391304347826086,0.0566715310085747,0.1,33648.93525393797,0.2324499818575072,12941
BIDIRECTIONAL,{},0.1,0.55,0.0,0.04,92,68,24,0.8259486440700603,0.7391304347826086,0.0474404212363243,0.1,18554.582440005564,0.1468105552190982,15261
BIDIRECTIONAL,{},0.1,0.55,0.0,0.0,92,68,24,2.172612266699224,0.7391304347826086,0.0672442980396944,0.1,66121.08514128561,0.3115922962008784,10701
BIDIRECTIONAL,{},0.15,0.51,0.0,0.02,92,68,24,2.18049616287462,0.7391304347826086,0.0850072965128621,0.1499999999999999,51227.112826838005,0.2324499818575075,10700
BIDIRECTIONAL,{},0.15,0.51,0.0,0.04,92,68,24,1.2389229661050905,0.7391304347826086,0.0711606318544866,0.1499999999999999,21451.99169266677,0.1468105552190989,13803
BIDIRECTIONAL,{},0.15,0.51,0.0,0.0,92,68,24,3.258918400048838,0.7391304347826086,0.1008664470595417,0.1499999999999999,136989.40580445775,0.3115922962008788,8031
BIDIRECTIONAL,{},0.15,0.55,0.0,0.02,92,68,24,2.18049616287462,0.7391304347826086,0.0850072965128621,0.1499999999999999,51227.112826838005,0.2324499818575075,10699
BIDIRECTIONAL,{},0.15,0.55,0.0,0.04,92,68,24,1.2389229661050905,0.7391304347826086,0.0711606318544866,0.1499999999999999,21451.99169266677,0.1468105552190989,13802
BIDIRECTIONAL,{},0.15,0.55,0.0,0.0,92,68,24,3.258918400048838,0.7391304347826086,0.1008664470595417,0.1499999999999999,136989.40580445775,0.3115922962008788,8030
BIDIRECTIONAL,{},0.2,0.51,0.0,0.02,92,68,24,2.9073282171661603,0.7391304347826086,0.1133430620171494,0.2,68349.4725050632,0.2324499818575072,8816
BIDIRECTIONAL,{},0.2,0.51,0.0,0.04,92,68,24,1.6518972881401206,0.7391304347826086,0.0948808424726487,0.2,22030.96935961897,0.1468105552190982,12342
